date,equity
2025-08-01,100000.0
2025-08-04,100455.35
2025-08-05,99637.0
2025-08-06,100264.0
2025-08-07,100868.0
2025-08-08,101008.7
2025-08-11,101014.8
2025-08-12,101386.55
2025-08-13,101603.55
2025-08-14,101446.55
2025-08-15,101644.55
2025-08-18,101786.55
2025-08-19,101053.9
2025-08-20,100997.9
2025-08-21,100927.9
2025-08-22,101389.9
2025-08-25,101121.9
2025-08-26,101193.9
2025-08-27,101060.9
2025-08-28,101858.7
2025-08-29,101333.7
2025-09-02,101068.7
2025-09-03,101030.6
2025-09-04,101623.6
2025-09-05,100139.6
2025-09-08,100588.6
2025-09-09,101423.1
2025-09-10,101921.1
2025-09-11,101635.1
2025-09-12,102179.9
2025-09-15,102712.9
2025-09-16,102573.5
2025-09-17,102588.5
2025-09-18,102660.5
2025-09-19,102960.5
2025-09-22,103321.3
2025-09-23,103298.3
2025-09-24,103234.3
2025-09-25,103233.3
2025-09-26,103137.3
2025-09-29,102791.3
2025-09-30,102551.8
2025-10-01,102385.8
2025-10-02,103584.8
2025-10-03,102004.8
2025-10-06,105894.8
2025-10-07,107080.8
2025-10-08,106738.8
2025-10-09,107385.8
2025-10-10,103953.8
2025-10-13,106786.8
2025-10-14,107175.8
2025-10-15,108373.8
2025-10-16,106867.8
2025-10-17,107326.8
2025-10-20,109512.8
2025-10-21,110181.7
2025-10-22,110376.7
2025-10-23,110679.7
2025-10-24,110435.9
2025-10-27,110470.9
2025-10-28,110573.35
2025-10-29,110556.65
2025-10-30,109922.65
2025-10-31,110540.65
2025-11-03,110862.65
2025-11-04,110176.65
2025-11-05,111424.65
2025-11-06,109981.9
2025-11-07,110739.9
2025-11-10,112093.9
2025-11-11,111982.05
2025-11-12,112744.55
2025-11-13,112553.2
2025-11-14,112553.2
2025-11-17,112553.2
2025-11-18,112387.9
2025-11-19,112121.9
2025-11-20,110729.9
2025-11-21,111346.9
2025-11-24,112607.9
2025-11-25,112820.15
2025-11-26,113671.15
2025-11-28,114184.65
2025-12-01,113959.0
2025-12-02,114063.2
2025-12-03,113899.2
2025-12-04,113857.2
2025-12-05,114287.2
2025-12-08,114826.2
2025-12-09,114894.35
2025-12-10,115185.35
2025-12-11,115065.4
2025-12-12,114704.2
2025-12-15,114754.2
2025-12-16,114009.6
2025-12-17,112973.6
2025-12-18,113457.6
2025-12-19,114523.2
2025-12-22,115046.2
2025-12-23,115676.9
2025-12-24,115504.6
2025-12-26,115757.6
2025-12-29,115925.6
2025-12-30,116194.75
2025-12-31,116034.75
2026-01-02,116488.75
2026-01-05,116717.7
2026-01-06,116342.75
2026-01-07,116525.75
2026-01-08,116596.75
2026-01-09,116954.75
2026-01-12,116767.05
2026-01-13,116855.05
2026-01-14,116826.05
2026-01-15,116770.1
2026-01-16,116714.1
2026-01-20,116462.1
2026-01-21,116648.45
2026-01-22,116962.95
2026-01-23,116529.95
2026-01-26,116157.95
2026-01-27,116339.05
2026-01-28,116587.05
2026-01-29,116095.55
2026-01-30,115270.55
2026-02-02,115361.55
2026-02-03,114026.55
2026-02-04,112861.55
2026-02-05,112106.55
2026-02-06,114052.55
2026-02-09,114320.95
2026-02-10,113598.7
2026-02-11,114493.7
2026-02-12,113301.45
2026-02-13,113775.45
2026-02-17,113691.45
2026-02-18,114073.25
2026-02-19,113537.75
2026-02-20,113250.75
2026-02-23,112497.25
2026-02-24,113862.95
2026-02-25,114442.95
2026-02-26,113420.95
2026-02-27,112898.95
2026-03-02,113309.65
2026-03-03,112555.2
2026-03-04,113709.0
2026-03-05,114031.0
2026-03-06,112851.0
2026-03-09,113639.5
2026-03-10,113643.7
2026-03-11,114557.2
2026-03-12,113140.7
2026-03-13,113329.2
2026-03-16,113394.7
2026-03-17,112754.95
2026-03-18,112748.95
2026-03-19,112882.95
2026-03-20,111297.95
2026-03-23,112708.45
2026-03-24,112570.15
2026-03-25,113951.65
2026-03-26,111926.65
2026-03-27,110849.15
2026-03-30,110132.15
2026-03-31,112093.05
2026-04-01,112947.05
2026-04-02,113823.85
2026-04-06,114816.35
2026-04-07,115325.05
2026-04-08,115831.05
2026-04-09,115764.05
2026-04-10,115355.05
2026-04-13,115963.55
2026-04-14,116148.25
2026-04-15,116335.25
2026-04-16,117536.25
2026-04-17,117036.25
2026-04-20,117812.75
2026-04-21,117001.95
2026-04-22,115893.45
2026-04-23,117974.95
2026-04-24,119234.85
2026-04-27,119335.35
2026-04-28,120482.0
2026-04-29,120343.5
2026-04-30,120730.9
2026-05-01,120384.9
2026-05-04,120420.9
2026-05-05,120460.4
2026-05-06,119820.9
2026-05-07,118362.6
2026-05-08,118479.1
2026-05-11,120085.6
2026-05-12,119363.0
2026-05-13,120009.0
2026-05-14,120301.0
2026-05-15,119239.0
2026-05-18,119465.5
2026-05-19,120028.7
2026-05-20,121722.7
2026-05-21,122454.7
2026-05-22,122911.2
2026-05-26,122389.2
2026-05-27,122227.35
2026-05-28,122544.85
2026-05-29,121904.85
2026-06-01,123758.85
2026-06-02,123445.85
2026-06-03,124382.35
2026-06-04,124859.85
2026-06-05,118345.85
2026-06-08,122351.35
2026-06-09,120313.85
2026-06-10,119509.35
2026-06-11,122430.35
2026-06-12,124102.05
2026-06-15,123409.05
2026-06-16,122464.85
2026-06-17,121481.85
2026-06-18,120661.85
2026-06-22,122370.85
2026-06-23,121553.85
2026-06-24,120992.85
2026-06-25,122178.85
2026-06-26,119612.85
2026-06-29,119975.85
2026-06-30,120636.95
2026-07-01,118700.45
2026-07-02,114710.45
2026-07-06,117695.95
2026-07-07,113829.95
2026-07-08,113526.95
2026-07-09,118056.95
2026-07-10,117057.45
2026-07-13,114047.95
2026-07-14,115760.45
2026-07-15,113195.45
2026-07-16,109147.95
2026-07-17,108497.95
2026-07-20,109104.95
2026-07-21,113921.05
2026-07-22,112754.55
2026-07-23,109653.55
2026-07-24,106033.55
2026-07-27,106572.05
2026-07-28,103611.25
2026-07-29,100471.75
2026-07-30,106123.35
2026-07-31,105597.35
