ts,kind,underlying,occ,qty,price,fee,cash,note
2025-08-04,SELL_PUT,SOFI,SOFI250822P00020000,18,0.58,9.0,1043.1,delta 0.31 dte 21
2025-08-04,SELL_PUT,COIN,COIN250808P00302500,1,4.228,0.5,422.75,delta 0.30 dte 7
2025-08-05,SELL_PUT,GM,GM250815P00051000,1,0.351,0.5,35.15,delta 0.24 dte 11
2025-08-08,BUY_PUT,SOFI,SOFI250822P00020000,18,0.221,9.0,-396.9,take_profit
2025-08-08,BUY_PUT,COIN,COIN250808P00302500,1,0.609,0.5,-60.9,take_profit
2025-08-11,BUY_PUT,GM,GM250815P00051000,1,0.084,0.5,-8.4,take_profit
2025-08-12,SELL_PUT,AMD,AMD250912P00162500,2,3.847,1.0,769.5,delta 0.29 dte 32
2025-08-12,SELL_PUT,SOFI,SOFI250912P00021000,17,0.617,8.5,1049.75,delta 0.30 dte 32
2025-08-19,BUY_PUT,SOFI,SOFI250912P00021000,17,0.367,8.5,-624.75,take_profit
2025-08-19,SELL_PUT,WBD,WBD250919P00011000,4,0.257,2.0,102.6,delta 0.26 dte 32
2025-08-26,SELL_PUT,SOFI,SOFI250926P00024000,15,0.893,7.5,1339.5,delta 0.28 dte 32
2025-08-28,BUY_PUT,WBD,WBD250919P00011000,4,0.116,2.0,-46.2,take_profit
2025-09-03,SELL_PUT,INTC,INTC250926P00023000,1,0.494,0.5,49.4,delta 0.30 dte 24
2025-09-09,SELL_PUT,WBD,WBD250919P00012000,1,0.19,0.5,19.0,delta 0.32 dte 11
2025-09-12,BUY_PUT,SOFI,SOFI250926P00024000,15,0.42,7.5,-630.0,take_profit
2025-09-12,BUY_PUT,INTC,INTC250926P00023000,1,0.252,0.5,-25.2,take_profit
2025-09-12,ASSIGN,AMD,AMD250912P00162500,2,162.5,0,32500.0,assigned; close 158.51 < strike
2025-09-16,SELL_PUT,SOFI,SOFI251003P00026000,14,0.684,7.0,957.6,delta 0.29 dte 18
2025-09-16,SELL_PUT,BABA,BABA251010P00150000,2,3.42,1.0,684.0,delta 0.30 dte 25
