date,equity
2025-08-01,100000.0
2025-08-04,100308.55
2025-08-05,100458.85
2025-08-06,100464.8
2025-08-07,100884.8
2025-08-08,100946.2
2025-08-11,100946.5
2025-08-12,101278.95
2025-08-13,101342.3
2025-08-14,101237.3
2025-08-15,101315.3
2025-08-18,101353.4
2025-08-19,99896.0
2025-08-20,99491.0
2025-08-21,99604.0
2025-08-22,100065.0
2025-08-25,99848.0
2025-08-26,100147.55
2025-08-27,99799.55
2025-08-28,100703.55
2025-08-29,100148.55
2025-09-02,99986.55
2025-09-03,99596.55
2025-09-04,100365.55
2025-09-05,99280.45
2025-09-08,99772.95
2025-09-09,100860.8
2025-09-10,101617.3
2025-09-11,101506.8
2025-09-12,102463.8
2025-09-15,102776.8
2025-09-16,102617.5
2025-09-17,102489.0
2025-09-18,103339.0
2025-09-19,103912.95
2025-09-22,103996.75
2025-09-23,104028.45
2025-09-24,104102.45
2025-09-25,104087.7
2025-09-26,103923.4
2025-09-29,103741.9
2025-09-30,103730.4
2025-10-01,103693.4
2025-10-02,104440.9
2025-10-03,102435.4
2025-10-06,105007.9
2025-10-07,106006.4
2025-10-08,105918.4
2025-10-09,106461.9
2025-10-10,103421.4
2025-10-13,105424.4
2025-10-14,105991.4
2025-10-15,106723.9
2025-10-16,105609.4
2025-10-17,106011.4
2025-10-20,107770.55
2025-10-21,108233.0
2025-10-22,107838.7
2025-10-23,108347.35
2025-10-24,108669.85
2025-10-27,109161.35
2025-10-28,109397.5
2025-10-29,109987.45
2025-10-30,109499.95
2025-10-31,110297.35
2025-11-03,110938.1
2025-11-04,109486.85
2025-11-05,110458.4
2025-11-06,108349.5
2025-11-07,109109.0
2025-11-10,111727.5
2025-11-11,111244.0
2025-11-12,111188.25
2025-11-13,109137.15
2025-11-14,110055.15
2025-11-17,109467.15
2025-11-18,108580.05
2025-11-19,108373.05
2025-11-20,104730.05
2025-11-21,105835.55
2025-11-24,108928.05
2025-11-25,109229.05
2025-11-26,110710.55
2025-11-28,111788.55
2025-12-01,111973.75
2025-12-02,112356.7
2025-12-03,112755.7
2025-12-04,112287.05
2025-12-05,113817.55
2025-12-08,115096.55
2025-12-09,115321.35
2025-12-10,116600.85
2025-12-11,116335.85
2025-12-12,114858.85
2025-12-15,114571.85
2025-12-16,114401.1
2025-12-17,111835.1
2025-12-18,115066.85
2025-12-19,118725.85
2025-12-22,120453.0
2025-12-23,120708.7
2025-12-24,121489.15
2025-12-26,121073.15
2025-12-29,121293.65
2025-12-30,120916.45
2025-12-31,120116.45
2026-01-02,120613.95
2026-01-05,121571.25
2026-01-06,122334.25
2026-01-07,122633.25
2026-01-08,122407.25
2026-01-09,122620.55
2026-01-12,122769.55
2026-01-13,122826.05
2026-01-14,123095.05
2026-01-15,123095.75
2026-01-16,122549.75
2026-01-20,122376.75
2026-01-21,122377.1
2026-01-22,122377.8
2026-01-23,122750.3
2026-01-26,122523.8
2026-01-27,122316.0
2026-01-28,121770.5
2026-01-29,120307.1
2026-01-30,120805.1
2026-02-02,121449.85
2026-02-03,122265.35
2026-02-04,120540.45
2026-02-05,119542.95
2026-02-06,120831.95
2026-02-09,121617.95
2026-02-10,120867.1
2026-02-11,121111.1
2026-02-12,120126.6
2026-02-13,120539.1
2026-02-17,120736.1
2026-02-18,121066.1
2026-02-19,120647.3
2026-02-20,120463.3
2026-02-23,119885.8
2026-02-24,121294.0
2026-02-25,122204.5
2026-02-26,121484.75
2026-02-27,121872.75
2026-03-02,122685.75
2026-03-03,121359.2
2026-03-04,123604.2
2026-03-05,123595.2
2026-03-06,122738.2
2026-03-09,123760.2
2026-03-10,123760.85
2026-03-11,124271.25
2026-03-12,122638.25
2026-03-13,122796.35
2026-03-16,123868.65
2026-03-17,123292.0
2026-03-18,122712.5
2026-03-19,123079.0
2026-03-20,119727.5
2026-03-23,122615.5
2026-03-24,121956.5
2026-03-25,124753.5
2026-03-26,121233.5
2026-03-27,120023.5
2026-03-30,118391.5
2026-03-31,123229.2
2026-04-01,126514.7
2026-04-02,128474.7
2026-04-06,129195.7
2026-04-07,130201.5
2026-04-08,131830.5
2026-04-09,131170.5
2026-04-10,130957.5
2026-04-13,131730.0
2026-04-14,132089.0
2026-04-15,132798.5
2026-04-16,132499.5
2026-04-17,133349.0
2026-04-20,133399.5
2026-04-21,132383.1
2026-04-22,133120.1
2026-04-23,134020.6
2026-04-24,135389.1
2026-04-27,135640.75
2026-04-28,135921.25
2026-04-29,135305.25
2026-04-30,135945.85
2026-05-01,136321.6
2026-05-04,135915.1
2026-05-05,135131.1
2026-05-06,134960.6
2026-05-07,134694.0
2026-05-08,135595.5
2026-05-11,136033.5
2026-05-12,135827.5
2026-05-13,135933.0
2026-05-14,135720.0
2026-05-15,135159.5
2026-05-18,135556.0
2026-05-19,135008.2
2026-05-20,135884.7
2026-05-21,135950.2
2026-05-22,135942.1
2026-05-26,135879.1
2026-05-27,135905.75
2026-05-28,137485.25
2026-05-29,138265.75
2026-06-01,138712.85
2026-06-02,137608.7
2026-06-03,136662.5
2026-06-04,137288.6
2026-06-05,132719.1
2026-06-08,135079.1
2026-06-09,133436.6
2026-06-10,132375.1
2026-06-11,135711.6
2026-06-12,136351.3
2026-06-15,138107.3
2026-06-16,136083.05
2026-06-17,135534.05
2026-06-18,135285.55
2026-06-22,136118.55
2026-06-23,134240.95
2026-06-24,134242.45
2026-06-25,134218.45
2026-06-26,132746.95
2026-06-29,132836.9
2026-06-30,133274.25
2026-07-01,133370.75
2026-07-02,131968.75
2026-07-06,134527.25
2026-07-07,132882.75
2026-07-08,132425.25
2026-07-09,134359.25
2026-07-10,133734.75
2026-07-13,131944.75
2026-07-14,132621.55
2026-07-15,132107.55
2026-07-16,129978.55
2026-07-17,129161.05
2026-07-20,128926.05
2026-07-21,129517.55
2026-07-22,128463.05
2026-07-23,126938.05
2026-07-24,125595.05
2026-07-27,127162.55
2026-07-28,126002.45
2026-07-29,123880.45
2026-07-30,126822.45
2026-07-31,126591.95
