occ,underlying,leg,entry,credit,exit,exit_px,exit_kind,pnl
BABA250815P00113000,BABA,BUY_PUT,2025-08-04,1.102,2025-08-07,0.304,take_profit,78.75
DIS250808P00112000,DIS,BUY_PUT,2025-08-04,1.159,2025-08-07,0.105,take_profit,104.4
SOFI250822P00020000,SOFI,BUY_PUT,2025-08-04,0.58,2025-08-08,0.221,take_profit,244.3
MU250829P00099000,MU,BUY_PUT,2025-08-04,1.919,2025-08-11,0.389,take_profit,152.05
GM250905P00052000,GM,BUY_PUT,2025-08-12,0.598,2025-08-18,0.2,take_profit,77.8
SOFI250912P00021000,SOFI,BUY_PUT,2025-08-12,0.617,2025-08-19,0.367,take_profit,144.0
MU250822P00119000,MU,BUY_PUT,2025-08-12,1.501,2025-08-19,0.84,take_profit,65.1
BABA250905P00113000,BABA,BUY_PUT,2025-08-12,2.185,2025-08-26,0.567,take_profit,160.8
WBD250829P00012000,WBD,BUY_PUT,2025-08-04,0.37,2025-08-28,0.074,take_profit,315.7
MU250905P00112000,MU,BUY_PUT,2025-08-26,1.748,2025-08-29,0.389,take_profit,134.95
MU250912P00114000,MU,BUY_PUT,2025-09-03,1.377,2025-09-05,0.452,take_profit,91.6
T251003P00028000,T,BUY_PUT,2025-09-03,0.38,2025-09-08,0.43,take_profit,-24.2
INTC250926P00023000,INTC,BUY_PUT,2025-08-26,0.665,2025-09-09,0.263,take_profit,235.5
BABA250912P00134000,BABA,BUY_PUT,2025-09-03,2.166,2025-09-09,0.179,take_profit,197.75
MU250919P00127000,MU,BUY_PUT,2025-09-09,1.605,2025-09-11,0.231,take_profit,136.45
SOFI250926P00024000,SOFI,BUY_PUT,2025-08-26,0.893,2025-09-12,0.42,take_profit,277.8
KO250912P00069000,KO,PUT,2025-08-12,0.532,2025-09-12,0,ASSIGN,52.7
WBD250919P00012000,WBD,PUT,2025-09-09,0.19,2025-09-19,0,EXPIRE,185.0
SOFI251003P00026000,SOFI,BUY_PUT,2025-09-16,0.684,2025-09-22,0.273,take_profit,200.5
INTC251024P00027000,INTC,BUY_PUT,2025-09-23,0.76,2025-09-26,0.294,take_profit,228.0
XOM251003P00110000,XOM,BUY_PUT,2025-09-23,0.56,2025-09-26,0.147,take_profit,40.35
INTC251024P00032000,INTC,BUY_PUT,2025-09-30,1.368,2025-10-03,0.441,take_profit,366.8
T251003P00029000,T,PUT,2025-09-16,0.266,2025-10-03,0,ASSIGN,130.5
