occ,underlying,leg,entry,credit,exit,exit_px,exit_kind,pnl
SOFI250822P00020000,SOFI,BUY_PUT,2025-08-04,0.58,2025-08-08,0.221,take_profit,628.2
COIN250808P00302500,COIN,BUY_PUT,2025-08-04,4.228,2025-08-08,0.609,take_profit,360.85
GM250815P00051000,GM,BUY_PUT,2025-08-05,0.351,2025-08-11,0.084,take_profit,25.75
SOFI250912P00021000,SOFI,BUY_PUT,2025-08-12,0.617,2025-08-19,0.367,take_profit,408.0
WBD250919P00011000,WBD,BUY_PUT,2025-08-19,0.257,2025-08-28,0.116,take_profit,52.4
SOFI250926P00024000,SOFI,BUY_PUT,2025-08-26,0.893,2025-09-12,0.42,take_profit,694.5
INTC250926P00023000,INTC,BUY_PUT,2025-09-03,0.494,2025-09-12,0.252,take_profit,23.2
AMD250912P00162500,AMD,PUT,2025-08-12,3.847,2025-09-12,0,ASSIGN,768.5
BABA251010P00150000,BABA,BUY_PUT,2025-09-16,3.42,2025-09-18,2.52,take_profit,178.0
WBD250919P00012000,WBD,PUT,2025-09-09,0.19,2025-09-19,0,EXPIRE,18.5
SOFI251003P00026000,SOFI,BUY_PUT,2025-09-16,0.684,2025-09-22,0.273,take_profit,561.4
AMD251010C00175000,AMD,BUY_CC,2025-09-16,2.755,2025-09-29,1.05,cc_take_profit,339.0
SOFI251024P00027500,SOFI,BUY_PUT,2025-09-23,1.045,2025-10-21,0.441,take_profit,772.2
WBD251024P00018000,WBD,BUY_PUT,2025-09-23,0.779,2025-10-22,0.021,take_profit,1496.0
NOK251031P00005500,NOK,BUY_PUT,2025-10-21,0.209,2025-10-24,0.021,take_profit,53.4
INTC251114P00035000,INTC,BUY_PUT,2025-10-21,1.52,2025-10-28,0.473,take_profit,103.75
NOK251121P00006000,NOK,BUY_PUT,2025-10-28,0.114,2025-10-29,0.074,take_profit,189.1
AMD251031C00180000,AMD,CALL,2025-09-30,2.992,2025-10-31,0,CALLED,597.5
MU251114P00222500,MU,BUY_PUT,2025-11-04,9.69,2025-11-06,3.833,take_profit,584.75
SOFI251121P00027500,SOFI,BUY_PUT,2025-10-28,0.741,2025-11-12,0.263,take_profit,655.9
NOK251114P00007000,NOK,BUY_PUT,2025-11-04,0.237,2025-11-13,0.105,take_profit,318.5
AMD251128P00230000,AMD,BUY_PUT,2025-11-11,5.577,2025-11-13,3.329,take_profit,223.8
INTC251212P00034000,INTC,BUY_PUT,2025-11-25,0.883,2025-11-28,0.336,take_profit,268.75
MU251205P00225000,MU,BUY_PUT,2025-11-18,9.329,2025-12-01,4.095,take_profit,522.4
WBD251219P00021000,WBD,BUY_PUT,2025-11-18,0.722,2025-12-01,0.389,take_profit,614.65
WBD251226P00022000,WBD,BUY_PUT,2025-12-02,0.427,2025-12-09,0.095,take_profit,581.4
MU251219P00222500,MU,BUY_PUT,2025-12-02,7.942,2025-12-11,2.195,take_profit,573.75
NOK251219P00006000,NOK,BUY_PUT,2025-12-09,0.048,2025-12-12,0.021,take_profit,3.3
MU260109P00220000,MU,BUY_PUT,2025-12-16,8.284,2025-12-19,2.499,take_profit,577.5
